,player,team,games,goals,assists,points,pl_min,shoots,per_shoots,penalty_time,avr_time_on_ice,position
673,Лисов Никита,АМР,1,0,0,0,0,0,0.0,0,01:44,D
674,Логинов Александр,СИБ,50,8,9,17,3,108,7.4,18,21:10,D
675,Лоов Виктор,ЙОК,56,7,10,17,8,81,8.6,67,17:19,D
676,Лофквист Сэм,КУН,18,3,8,11,-4,56,5.4,16,21:46,D
677,Лукин Дмитрий,СИБ,35,0,1,1,-4,10,0.0,28,12:25,D
678,Лямин Кирилл,АВТ,43,2,5,7,6,40,5.0,26,15:59,D
679,Лямкин Никита,АКБ,34,2,4,6,-1,33,6.1,8,16:39,D
680,Ляхов Александр,СЮЛ,9,0,0,0,0,2,0.0,0,01:03,D
681,Майоне Мэтью,ДРГ,58,12,31,43,-13,149,8.1,22,19:46,D
682,Макаров Александр,СЕВ,11,0,0,0,-6,5,0.0,8,10:56,D
683,Макеев Никита,ЦСК,2,0,0,0,1,1,0.0,2,08:23,D
684,Маклюков Алексей,БАР,61,3,11,14,20,55,5.5,16,17:33,D
685,Малевич Владимир,СЕВ,14,1,0,1,-4,11,9.1,10,18:08,D
686,Мамкин Михаил,АВТ,46,1,8,9,16,54,1.9,18,18:08,D
687,Мамчицс Робертс,ДРГ,10,0,0,0,-3,6,0.0,0,10:42,D
688,Манухов Роман,АКБ,19,1,5,6,3,20,5.0,8,18:49,D
689,Марков Андрей,АКБ,49,2,12,14,13,68,2.9,20,21:19,D
690,Мартынов Егор,АВГ,39,1,8,9,11,61,1.6,0,12:55,D
691,Марченко Алексей,ЦСК,59,2,17,19,28,70,2.9,18,18:43,D
692,Матушкин Максим,ММГ,62,6,13,19,19,123,4.9,6,18:40,D
693,Мегалинский Дмитрий,СЕВ,10,1,1,2,-3,5,20.0,31,12:00,D
694,Медведев Евгений,АВГ,62,8,22,30,19,181,4.4,22,20:58,D
695,Медведев Павел,ТОР,1,0,0,0,-1,0,0.0,2,10:28,D
696,Меньшиков Виталий,ДИН,54,2,3,5,-3,73,2.7,58,13:10,D
697,Месарош Андрей,СЛВ,39,2,5,7,-18,77,2.6,32,15:11,D
698,Минеев Максим,ДИН,14,0,1,1,-6,15,0.0,4,14:43,D
699,Миронов Андрей Ан.,ДИН,40,0,5,5,3,60,0.0,50,15:43,D
700,Мисюль Даниил,ЛОК,3,0,1,1,2,6,0.0,0,14:40,D
701,Мишарин Георгий,АВТ,32,0,2,2,6,18,0.0,6,15:16,D
702,Мищенко Иван,АДМ,60,2,15,17,-10,101,2.0,88,19:26,D
703,Мозик Войтех,ВИТ,57,5,20,25,0,155,3.2,67,22:03,D
704,Морозов Илья,СИБ,49,1,4,5,1,41,2.4,12,14:57,D
705,Мусин Дамир,НХК,55,3,4,7,0,36,8.3,10,17:12,D
706,Назаревич Илья,ТОР,29,1,3,4,-10,51,2.0,6,16:35,D
707,Накладал Якуб,ЛОК,53,9,14,23,0,161,5.6,35,20:23,D
708,Науменков Михаил,ЦСК,50,2,8,10,34,47,4.3,49,15:39,D
709,Наумов Владислав,СИБ,45,1,2,3,-10,32,3.1,22,13:35,D
710,Нестеров Никита,ЦСК,41,4,13,17,16,93,4.3,20,21:00,D
711,Никитин Никита,ТРК,28,2,1,3,-9,31,6.5,29,17:08,D
712,Никулин Илья,ДИН,60,9,15,24,6,134,6.7,55,20:10,D
713,Нурмиканта Нико,ЙОК,3,0,0,0,-2,2,0.0,2,11:28,D
714,Огиенко Егор,ТОР,9,0,1,1,-3,3,0.0,2,12:27,D
715,Огурцов Дмитрий,НХК,49,1,3,4,-19,60,1.7,30,16:05,D
716,Олендаренко Илья,ТОР,1,0,0,0,-1,0,0.0,2,11:25,D
717,Ольшанский Савелий,ММГ,10,0,1,1,2,4,0.0,2,08:08,D
718,Орехов Валерий,БАР,41,3,3,6,12,27,11.1,14,12:54,D
719,Орлов Михаил,ТОР,60,6,9,15,6,93,6.5,24,18:55,D
720,Осипов Александр,СПР,46,5,2,7,-5,53,9.4,51,14:50,D
721,Осипов Денис,ДМН,43,3,4,7,-7,40,7.5,22,17:54,D
722,Осипов Максим,ЛОК,54,3,11,14,-2,66,4.5,28,17:14,D
723,Пайгин Зият,СОЧ,31,2,9,11,6,72,2.8,6,17:51,D
724,Панин Григорий,СЮЛ,46,1,6,7,3,35,2.9,79,17:44,D
725,Парлетт Блэйк,КУН,32,4,5,9,-3,46,8.7,10,18:19,D
726,Патрикеев Михаил,АДМ,19,0,2,2,0,22,0.0,4,12:33,D
727,Пашнин Михаил,ЦСК,42,1,5,6,23,49,2.0,37,16:39,D
728,Педан Андрей,АКБ,37,2,9,11,18,84,2.4,44,18:58,D
729,Педан Руслан,ДРГ,11,0,1,1,-3,11,0.0,8,11:15,D
730,Пепеляев Алексей,ДИН,38,1,1,2,-3,26,3.8,18,11:29,D
731,Петрищев Руслан,СЮЛ,3,0,0,0,-1,1,0.0,0,09:33,D
732,Петров Алексей,ТРК,43,0,7,7,-10,20,0.0,47,13:33,D
733,Пивцакин Никита,АВГ,38,4,3,7,-5,53,7.5,29,14:21,D
