,player,team,games,goals,assists,points,pl_min,shoots,per_shoots,penalty_time,avr_time_on_ice,position
61,Вей Линден,ЦСК,56,12,30,42,35,100,12.0,22,16:43,F
62,Величкин Игорь,АМР,19,0,2,2,-7,9,0.0,4,08:06,F
63,Верба Марк,ВИТ,1,0,0,0,0,0,0.0,0,00:23,F
64,Верстиг Крис,АВГ,11,3,2,5,-1,34,8.8,0,16:32,F
65,Веряев Данил,ТОР,61,6,13,19,12,61,9.8,32,12:37,F
66,Весалайнен Кристиан,ЙОК,31,6,11,17,3,41,14.6,0,14:37,F
67,Виделль Линус,ДРГ,49,24,24,48,7,151,15.9,14,18:24,F
68,Вирта Патрик,СЛВ,21,2,7,9,-9,30,6.7,6,13:16,F
69,Вихарев Денис,АДМ,48,10,16,26,-1,65,15.4,22,17:17,F
70,Вовченко Даниил,СЕВ,44,4,14,18,4,101,4.0,24,16:24,F
71,Воеводин Данил,АКБ,2,0,0,0,0,1,0.0,0,03:18,F
72,Волков Артём,ДМН,60,2,2,4,-13,29,6.9,44,11:35,F
73,Вольский Войтек,КУН,44,11,17,28,2,121,9.1,10,17:33,F
74,Воронин Артём,СПР,34,3,3,6,0,23,13.0,8,10:16,F
75,Воронин Кирилл,АДМ,61,7,13,20,6,119,5.9,20,14:27,F
76,Воронков Дмитрий,АКБ,3,0,0,0,0,2,0.0,0,04:02,F
77,Выглазов Никита,ВИТ,52,1,2,3,-21,72,1.4,24,12:36,F
78,Вярн Макс,ЙОК,25,4,0,4,-1,25,16.0,20,11:39,F
79,Гаврус Артур,ДМН,13,0,1,1,-8,18,0.0,2,11:48,F
80,Галиев Станислав,АКБ,59,10,12,22,4,112,8.9,38,14:04,F
81,Галимов Ансель,АВГ,45,5,6,11,5,52,9.6,23,09:36,F
82,Галимов Артём,АКБ,1,0,0,0,0,0,0.0,0,00:58,F
83,Галимов Эмиль,НХК,50,8,6,14,-9,139,5.8,30,16:38,F
84,Галузин Владимир,ТОР,52,12,13,25,-6,80,15.0,48,17:36,F
85,Гареев Артём,АВТ,28,5,6,11,5,34,14.7,8,14:42,F
86,Гегерис Эмилс,ДРГ,57,2,4,6,-15,45,4.4,12,11:54,F
87,Гераськин Игорь,СЕВ,61,6,11,17,4,103,5.8,14,15:07,F
88,Гиздатуллин Артур,АМР,15,0,0,0,-2,9,0.0,2,09:26,F
89,Гиллис Колтон,ДРГ,35,1,4,5,-3,18,5.6,17,10:27,F
90,Гиматов Эдуард,СЮЛ,6,0,0,0,0,1,0.0,30,10:07,F
91,Глазачев Константин,АДМ,54,16,12,28,3,118,13.6,8,15:19,F
92,Глинкин Антон,ТРК,49,6,13,19,-7,82,7.3,6,15:16,F
93,Глухов Михаил,АКБ,53,1,7,8,-9,52,1.9,28,14:05,F
94,Говорка Марек,АДМ,21,0,3,3,-12,24,0.0,2,12:50,F
95,Голубев Денис,АМР,19,3,3,6,3,37,8.1,13,14:54,F
96,Голышев Анатолий,АВТ,54,19,19,38,2,134,14.2,14,18:33,F
97,Гончаров Никита,ВИТ,13,0,0,0,-2,6,0.0,0,03:28,F
98,Горшков Александр,АМР,56,10,12,22,-7,134,7.5,14,16:38,F
99,Грачёв Герман,СЕВ,7,2,0,2,-1,12,16.7,0,09:50,F
100,Грачёв Евгений,АВТ,44,5,6,11,11,44,11.4,18,13:54,F
101,Гренц Дмитрий,БАР,25,1,2,3,-2,19,5.3,4,09:55,F
102,Григоренко Евгений,СЕВ,12,1,2,3,-3,15,6.7,8,14:41,F
103,Григоренко Михаил,ЦСК,55,17,35,52,33,175,9.7,10,17:48,F
104,Грнка Томаш,СЛВ,40,1,1,2,-10,35,2.9,16,10:59,F
105,Губарев Данил,ТРК,39,1,1,2,-13,22,4.5,15,09:11,F
106,Гурков Дмитрий,БАР,19,0,0,0,-2,9,0.0,2,07:05,F
107,Гусев Никита,СКА,62,17,64,81,39,194,8.8,10,15:52,F
108,Гюнге Рихард,ТРК,11,2,3,5,-5,30,6.7,6,17:13,F
109,Да Коста Стефан,АВТ,58,22,23,45,10,167,13.2,51,17:25,F
110,Дарзиньш Лаурис,ДРГ,62,18,26,44,2,147,12.2,32,18:29,F
111,Даугавиньш Каспарс,СПР,58,13,23,36,3,124,10.5,61,18:13,F
112,Дацюк Павел,СКА,54,12,30,42,22,99,12.1,6,17:25,F
113,Двуреченский Никита,ВИТ,5,0,0,0,-1,8,0.0,2,09:47,F
114,Деарне Давид,АВГ,58,7,21,28,-4,80,8.8,84,18:25,F
115,Дедунов Павел,АМР,54,13,8,21,-5,86,15.1,15,13:39,F
116,Денежкин Максим,ЛОК,1,0,0,0,-1,0,0.0,0,01:17,F
117,Денисенко Григорий,ЛОК,25,4,2,6,1,31,12.9,58,11:17,F
118,Дергачёв Александр,СКА,31,5,2,7,6,41,12.2,28,13:05,F
119,Джериньш Андрис,ДРГ,62,10,12,22,-10,88,11.4,40,14:25,F
120,Джо Брэйден,КУН,28,1,1,2,-7,15,6.7,8,09:31,F
121,Дзиеркалс Мартиньш,ДРГ,42,5,8,13,-8,51,9.8,22,12:28,F
122,Дорофеев Павел,ММГ,23,1,1,2,0,16,6.3,4,07:40,F
123,Доус Найджел,АВТ,60,28,41,69,18,193,14.5,12,18:09,F
124,Дроздов Иван,ДМН,47,1,7,8,-5,25,4.0,33,07:50,F
125,Дубровский Егор,СЮЛ,13,2,0,2,3,12,16.7,4,10:20,F
126,Дугин Егор,ТРК,57,2,6,8,-2,79,2.5,20,13:56,F
127,Дюкарев Владислав,ММГ,1,0,0,0,0,0,0.0,0,09:51,F
128,Евдокимов Ярослав,БАР,6,0,0,0,0,1,0.0,2,05:19,F
129,Еглич Жига,СЛВ,32,1,2,3,-17,22,4.5,2,13:58,F
130,Енсен Никлас,ЙОК,48,21,18,39,11,167,12.6,32,15:48,F
131,Ерофеев Андрей,ТРК,22,2,0,2,3,19,10.5,14,10:10,F
132,Есаян Михаил,ТОР,1,0,0,0,0,0,0.0,0,06:19,F
133,Ефремов Владислав,ДИН,28,2,1,3,-1,24,8.3,8,10:21,F
134,Жарков Владимир,СЮЛ,56,6,10,16,5,46,13.0,48,13:32,F
135,Жафяров Дамир,ТОР,59,13,16,29,3,128,10.2,20,16:37,F
136,Железков Артём,АМР,50,3,8,11,-9,73,4.1,23,14:52,F
137,Жилин Алексей,СОЧ,8,0,0,0,0,3,0.0,0,02:47,F
138,Зайцев Глеб,АДМ,46,4,6,10,-6,47,8.5,6,09:35,F
139,Закриссон Патрик,ДИН,37,5,6,11,-3,51,9.8,6,15:08,F
140,Зарипов Данис,АКБ,48,9,23,32,11,62,14.5,18,14:27,F
141,Заседа Матвей,АВГ,6,0,0,0,0,0,0.0,0,02:01,F
142,Захарчук Иван,СЕВ,54,9,6,15,-14,80,11.3,20,12:01,F
143,Здунов Павел,НХК,53,2,2,4,-7,35,5.7,32,09:52,F
144,Зернов Денис,АВГ,61,13,17,30,17,120,10.8,53,16:28,F
145,Злобин Антон,СПР,30,2,2,4,-2,37,5.4,8,10:09,F
146,Зогорна Томаш,АМР,61,14,15,29,1,128,10.9,26,18:13,F
147,Зубов Илья,СПР,57,10,23,33,4,93,10.8,12,18:29,F
148,Зырянов Глеб,СИБ,32,2,4,6,-7,55,3.6,0,12:16,F
149,Иванов Георгий,ЛОК,58,3,12,15,-2,64,4.7,10,13:00,F
150,Игумнов Иван,ДИН,49,3,3,6,-4,36,8.3,20,12:56,F
151,Иконен Хенри,ЙОК,46,1,4,5,7,42,2.4,45,11:19,F
152,Ильенко Артём,ЛОК,46,3,8,11,4,68,4.4,20,12:20,F
153,Ильин Даниил,ТОР,46,6,11,17,2,47,12.8,45,13:45,F
154,Индрашис Микс,ДИН,54,16,15,31,1,127,12.6,18,17:06,F
155,Ин Руди,КУН,2,1,0,1,2,1,100.0,0,03:33,F
156,Ип Брэндон,КУН,62,21,14,35,0,163,12.9,89,18:08,F
157,Йормакка Пекка,ЙОК,48,7,15,22,4,51,13.7,22,14:24,F
158,Йоэнсуу Ессе,ЙОК,60,19,17,36,12,97,19.6,83,15:51,F
159,Каблуков Илья,СКА,49,3,5,8,5,39,7.7,10,14:49,F
160,Кагарлицкий Дмитрий,ДИН,61,24,37,59,21,188,12.8,40,19:41,F
161,Кадейкин Александр,СЮЛ,56,6,14,20,8,80,7.5,43,13:52,F
162,Казаков Максим,СИБ,43,9,7,16,-3,64,14.1,18,14:24,F
163,Казаковцев Николай,СЕВ,4,0,0,0,-4,5,0.0,7,11:01,F
164,Казионов Денис,АВТ,48,8,7,15,-10,100,8.0,36,16:21,F
165,Казионов Дмитрий,СЕВ,2,0,0,0,0,2,0.0,4,11:37,F
166,Калетник Владислав,СОЧ,55,5,4,9,-7,67,7.5,22,12:39,F
167,Калинин Сергей,ЦСК,39,3,8,11,9,53,5.7,8,15:02,F
168,Калнс Эгилс,ДРГ,7,0,0,0,-1,6,0.0,2,07:33,F
169,Капризов Кирилл,ЦСК,57,29,20,49,34,160,18.1,16,17:15,F
170,Капустин Кирилл,СОЧ,39,4,6,10,-5,51,7.8,8,13:59,F
171,Кара Владислав,АКБ,41,3,2,5,-3,34,8.8,4,07:10,F
172,Карлин Руслан,ДИН,53,4,6,10,-9,68,5.9,22,12:18,F
173,Карнаухов Павел,ЦСК,33,3,6,9,10,42,7.1,21,12:23,F
174,Карон Джордан,СИБ,33,5,7,12,-16,66,7.6,29,14:50,F
175,Карпов Максим,СКА,33,9,14,23,16,56,16.1,2,13:39,F
176,Карсумс Мартиньш,СПР,56,9,15,24,0,90,10.0,46,15:14,F
177,Картаев Владислав,ЛОК,42,6,8,14,1,103,5.8,6,12:02,F
178,Кацуба Станислав,АМР,20,1,0,1,-6,6,16.7,2,06:35,F
179,Каюмов Артур,ЛОК,46,5,8,13,3,67,7.5,59,14:08,F
180,Кейлоф Эндрю,ТОР,58,22,19,41,-3,112,19.6,22,15:35,F
181,Кейн Кори,КУН,30,4,3,7,-4,58,6.9,32,14:27,F
182,Келемен Милош,СЛВ,2,0,0,0,0,1,0.0,2,06:20,F
183,Кемппайнен Йоонас,СЮЛ,59,17,16,33,7,75,22.7,41,18:02,F
184,Кетов Евгений,СКА,46,1,6,7,4,59,1.7,18,13:40,F
185,Китаров Александр,ДМН,54,1,5,6,-10,47,2.1,18,14:48,F
186,Кларк Кевин,ДРГ,38,9,4,13,-11,98,9.2,26,16:51,F
187,Клинкхаммер Роб,АКБ,57,19,5,24,4,112,17.0,79,15:18,F
188,Коваленко Николай,ЛОК,33,5,1,6,0,21,23.8,14,10:33,F
189,Ковыршин Евгений,ДМН,56,6,11,17,-14,45,13.3,18,17:16,F
190,Когалев Александр,ДМН,44,4,5,9,1,53,7.5,10,11:30,F
191,Кодола Владислав,СЕВ,45,7,7,14,-7,68,10.3,4,14:25,F
192,Козун Брэндон,ЛОК,52,19,22,41,2,154,12.3,32,16:24,F
193,Кокарев Денис,ВИТ,61,7,14,21,3,73,9.6,24,15:03,F
194,Кокуёв Семён,ТРК,62,3,5,8,-16,53,5.7,14,14:40,F
195,Колесников Никита,СЕВ,1,0,0,0,0,0,0.0,0,06:32,F
196,Коллинз Шон,СОЧ,49,8,14,22,3,86,9.3,12,17:50,F
197,Комаров Виктор,СИБ,33,8,10,18,0,40,20.0,6,13:12,F
198,Комаров Никита,ВИТ,47,4,5,9,-8,45,8.9,67,13:41,F
199,Комиссаров Лев,ЦСК,1,0,0,0,0,0,0.0,0,10:49,F
200,Коннов Александр,АДМ,16,5,2,7,3,31,16.1,8,13:28,F
201,Контиола Петри,ЛОК,41,9,12,21,0,81,11.1,10,16:43,F
202,Коньков Сергей,АДМ,62,12,11,23,-3,100,12.0,18,17:06,F
203,Кормье Патрис,БАР,56,17,22,39,21,99,17.2,101,17:26,F
204,Королёв Антон,АДМ,22,0,2,2,-5,22,0.0,2,12:30,F
205,Коротков Евгений,ЛОК,34,1,5,6,-4,19,5.3,12,13:56,F
206,Коршков Егор,ЛОК,19,3,2,5,1,26,11.5,6,13:57,F
207,Коскиранта Ярно,СКА,47,8,4,12,14,49,16.3,6,14:37,F
208,Косов Ярослав,НХК,28,3,3,6,-4,15,20.0,6,10:56,F
209,Костицын Андрей,ДМН,50,14,14,28,1,105,13.3,28,16:33,F
210,Костицын Сергей,ДМН,60,5,13,18,-11,62,8.1,68,17:01,F
211,Котляревский Михаил,СПР,4,0,0,0,0,2,0.0,2,06:00,F
212,Кошелев Семён,АВГ,40,2,2,4,5,49,4.1,0,09:37,F
213,Кравцов Виталий,ТРК,50,8,13,21,-3,114,7.0,6,15:31,F
214,Кравченко Егор,СПР,1,0,0,0,0,0,0.0,0,00:26,F
215,Красковский Павел,ЛОК,26,1,2,3,-4,29,3.4,8,12:28,F
216,Крикунов Илья,АВТ,43,10,11,21,2,61,16.4,14,15:30,F
217,Круглов Илья,ДИН,3,0,0,0,0,5,0.0,0,07:40,F
218,Круженков Егор,СПР,5,0,0,0,0,0,0.0,0,01:02,F
219,Кручинин Алексей,СКА,38,5,7,12,2,48,10.4,10,11:57,F
220,Кугрышев Дмитрий,СЮЛ,58,16,16,32,0,131,12.2,2,15:24,F
221,Кудрявцев Павел,ЛОК,26,1,3,4,-2,34,2.9,0,10:46,F
222,Кузнецов Александр,АМР,46,5,2,7,-10,56,8.9,8,12:03,F
223,Кузнецов Владимир,АВТ,2,0,0,0,0,1,0.0,0,09:22,F
224,Кузьменко Андрей,СКА,58,12,19,31,23,112,10.7,20,13:49,F
225,Кузьмин Глеб,СЮЛ,4,0,1,1,0,2,0.0,0,09:49,F
226,Кулагин Александр,ВИТ,1,0,0,0,0,4,0.0,0,12:10,F
227,Кулёмин Вячеслав,ДИН,40,3,4,7,-3,45,6.7,24,13:28,F
228,Кулёмин Николай,ММГ,52,16,19,35,18,100,16.0,16,17:42,F
229,Куликов Павел,НХК,58,5,4,9,-12,84,6.0,18,16:54,F
230,Купцов Сергей,СЕВ,7,0,2,2,-4,4,0.0,2,13:14,F
231,Кучерявенко Александр,АВТ,37,8,14,22,7,56,14.3,12,15:55,F
232,Лазарев Антон,АМР,31,4,5,9,-5,43,9.3,2,13:11,F
233,Лампер Патрик,СЛВ,44,6,4,10,-20,58,10.3,14,15:14,F
234,Ландер Антон,АКБ,39,10,20,30,19,82,12.2,26,17:25,F
235,Лапенков Евгений,СЕВ,38,3,2,5,-6,51,5.9,9,13:08,F
236,Лапин Сергей,СЕВ,20,2,4,6,2,17,11.8,6,09:56,F
237,Ларичев Иван,СОЧ,3,0,0,0,0,0,0.0,4,06:22,F
238,Латта Майкл,КУН,51,5,9,14,-10,49,10.2,71,12:42,F
239,Левицкий Игорь,ЦСК,1,0,0,0,0,0,0.0,0,04:20,F
240,Легалин Андрей,СПР,1,0,0,0,0,0,0.0,0,01:30,F
241,Лещенко Вячеслав,СПР,52,6,7,13,-3,89,6.7,20,13:10,F
242,Ли Олег,СКА,29,2,1,3,4,32,6.3,10,11:59,F
243,Липсбергс Робертс,ДРГ,22,0,2,2,-4,21,0.0,8,09:19,F
244,Лисин Энвер,СПР,38,2,8,10,-7,54,3.7,20,14:12,F
245,Лиска Адам,СЛВ,52,5,5,10,-19,100,5.0,8,16:14,F
246,Литвинов Илья,ДМН,49,1,1,2,-8,18,5.6,4,06:30,F
247,Литовченко Вячеслав,АВТ,44,4,5,9,12,58,6.9,12,14:57,F
248,Локтионов Андрей,ЛОК,49,17,24,41,14,141,12.1,26,18:59,F
249,Локхарт Лукас,КУН,41,1,9,10,0,31,3.2,13,10:18,F
250,Лугин Дмитрий,СОЧ,5,0,1,1,0,9,0.0,2,13:32,F
251,Лукин Владислав,СЮЛ,10,2,0,2,1,11,18.2,6,10:57,F
252,Лукоянов Артём,АКБ,62,13,11,24,19,114,11.4,46,15:12,F
253,Лунд Патрик,КУН,61,6,13,19,-12,67,9.0,6,16:15,F
254,Лунтер Марио,СЛВ,52,6,6,12,-26,59,10.2,30,16:17,F
255,Любимов Роман,ММГ,62,13,8,21,3,111,11.7,20,13:58,F
256,Майоров Максим,СЮЛ,44,9,7,16,-2,56,16.1,8,13:02,F
257,Макаренко Павел,ТОР,31,1,3,4,0,28,3.6,14,11:18,F
258,Макаров Игорь,ДИН,46,5,7,12,0,97,5.2,20,15:47,F
259,Макеев Алексей,ВИТ,62,15,12,27,-2,170,8.8,16,16:36,F
260,Макеев Дмитрий,БАР,1,0,0,0,0,1,0.0,2,05:39,F
261,Макмиллан Брэндон,ДРГ,47,7,12,19,-12,103,6.8,50,19:03,F
262,Максвелл Бен,СПР,59,11,12,23,7,97,11.3,20,17:24,F
263,Малыхин Фёдор,АКБ,15,1,1,2,-5,13,7.7,16,10:53,F
264,Мальцев Михаил,СКА,13,1,1,2,-1,16,6.3,0,09:05,F
265,Мамин Максим,ЦСК,25,1,2,3,2,31,3.2,33,13:21,F
266,Маннинен Сакари,ЙОК,62,20,29,49,15,98,20.4,14,16:09,F
267,Манукян Артём,АВГ,62,3,11,14,3,59,5.1,14,09:45,F
268,Маренис Рихардс,ДРГ,33,4,1,5,-5,25,16.0,8,09:39,F
269,Марковин Дмитрий,СЕВ,33,6,6,12,0,35,17.1,2,09:51,F
270,Марченко Кирилл,СКА,1,0,0,0,0,0,0.0,0,00:15,F
271,Мейя Гинтс,ДРГ,51,5,5,10,-14,62,8.1,32,15:45,F
272,Мерескин Александр,АДМ,34,6,6,12,2,34,17.6,14,13:15,F
273,Мертл Томаш,КУН,52,4,9,13,-4,61,6.6,26,16:23,F
274,Миле Энди,ТОР,61,16,16,32,-10,112,14.3,57,18:27,F
275,Миловзоров Егор,СИБ,54,12,21,33,13,121,9.9,20,14:20,F
276,Михайлис Никита,БАР,62,17,18,35,10,133,12.8,10,15:40,F
277,Михайлов Владислав,ДИН,9,1,0,1,-4,5,20.0,0,08:32,F
278,Михайлов Никита,СИБ,58,13,12,25,0,76,17.1,2,14:13,F
279,Михеев Артём,АКБ,42,7,4,11,10,44,15.9,2,10:54,F
280,Михеев Илья,АВГ,62,23,22,45,20,197,11.7,8,19:06,F
281,Михнов Алексей,СЕВ,28,6,3,9,-7,36,16.7,4,13:25,F
282,Мозер Евгений,ДИН,54,7,7,14,-2,106,6.6,40,13:49,F
283,Мозес Стив,ЙОК,59,15,25,40,13,138,10.9,20,14:45,F
284,Мозякин Сергей,ММГ,61,23,32,55,14,171,13.5,10,19:04,F
285,Моисеев Данила,ВИТ,33,0,2,2,-5,13,0.0,8,05:09,F
286,Моисеев Дмитрий,ДИН,46,4,8,12,-1,52,7.7,26,11:45,F
287,Монахов Сергей,СЕВ,57,7,7,14,-1,71,9.9,0,14:08,F
288,Монс Евгений,ВИТ,9,1,0,1,-2,4,25.0,2,08:45,F
289,Монто Йоона,ЙОК,1,0,0,0,0,0,0.0,0,10:02,F
290,Морозов Иван,СКА,11,0,0,0,0,0,0.0,0,01:16,F
291,Мосалёв Денис,СОЧ,28,3,2,5,-4,23,13.0,10,14:11,F
292,Мошаров Денис,ТРК,2,0,0,0,-1,2,0.0,0,09:37,F
293,Муранов Иван,ДИН,16,0,0,0,-1,14,0.0,0,08:20,F
294,Мюттюнен Матиас,ДРГ,43,8,2,10,-15,55,14.5,14,14:06,F
295,Мяки Томи,ЙОК,24,2,4,6,2,9,22.2,4,10:19,F
296,Неколенко Архип,ММГ,54,2,7,9,3,49,4.1,12,11:15,F
297,Нестрашил Андрей,НХК,55,8,15,23,-13,130,6.2,18,18:50,F
298,Ниеми Мика,ЙОК,54,5,9,14,13,28,17.9,20,12:28,F
299,Нижников Кирилл,СЕВ,1,0,0,0,-1,0,0.0,0,02:23,F
300,Николаев Артём,СКА,13,0,0,0,0,2,0.0,0,01:31,F
301,Николишин Иван,СЕВ,14,2,3,5,1,21,9.5,6,13:46,F
302,Николлс Джош,КУН,16,0,1,1,-7,5,0.0,4,08:49,F
303,Никонцев Анатолий,СПР,52,17,6,23,-4,101,16.8,18,15:31,F
304,Никулин Александр,ВИТ,52,3,14,17,-10,59,5.1,6,13:12,F
305,Норман Джон,ЙОК,61,20,9,29,6,110,18.2,53,17:52,F
306,Няттинен Йоонас,НХК,54,16,12,28,-7,115,13.9,46,17:29,F
307,Обидин Андрей,АВТ,29,2,2,4,2,32,6.3,26,10:21,F
308,Огирчук Даниил,СКА,3,0,0,0,0,0,0.0,0,01:04,F
309,О'Делл Эрик,СОЧ,61,22,16,38,11,151,14.6,52,19:07,F
310,Окулов Константин,ЦСК,48,20,11,31,21,109,18.3,8,14:04,F
311,О'Нилл Брайан,ЙОК,62,13,43,56,7,112,11.6,30,16:57,F
312,Основин Вячеслав,АКБ,58,5,5,10,-9,64,7.8,24,13:42,F
313,Павлов Виталий,ДРГ,61,2,4,6,-14,59,3.4,21,12:49,F
314,Павлович Александр,ДМН,30,1,7,8,-6,40,2.5,18,15:28,F
315,Падакин Павел,НХК,50,8,10,18,-11,116,6.9,18,16:39,F
316,Пакаринен Ииро,ММГ,60,19,7,26,6,135,14.1,6,15:42,F
317,Палола Олли,КУН,61,19,7,26,-3,143,13.3,18,14:15,F
318,Панкратов Семён,ДИН,28,1,2,3,0,17,5.9,8,08:40,F
319,Панюков Кирилл,БАР,15,1,0,1,-2,12,8.3,0,08:30,F
320,Паре Франсис,АВТ,58,16,18,34,12,121,13.2,8,17:46,F
321,Парфеевец Максим,ДМН,26,1,2,3,-8,18,5.6,8,11:53,F
322,Паршин Денис,ТОР,62,16,25,41,-1,136,11.8,54,17:45,F
323,Пачин Антон,СЮЛ,2,0,0,0,-1,1,0.0,0,10:22,F
324,Пелтола Юкка,СИБ,45,8,13,21,-6,76,10.5,8,17:49,F
325,Пеньковский Артём,ТРК,14,2,0,2,-1,22,9.1,8,13:33,F
326,Первушин Владимир,СИБ,42,6,4,10,2,38,15.8,20,12:23,F
327,Пережогин Александр,АВГ,16,0,7,7,3,20,0.0,2,10:55,F
328,Пестушко Максим,СЕВ,7,0,0,0,-1,9,0.0,2,13:57,F
329,Петерссон Андре,БАР,51,23,22,45,23,135,17.0,42,16:25,F
330,Петраков Иван,ВИТ,6,0,0,0,-2,3,0.0,8,09:53,F
331,Петров Кирилл,АВГ,57,8,15,23,-7,88,9.1,15,15:41,F
332,Петров Юрий,АДМ,20,3,3,6,-3,21,14.3,7,16:28,F
333,Петрунин Александр,ДИН,2,0,0,0,0,4,0.0,0,08:38,F
334,Петунин Александр,СЕВ,32,4,3,7,-6,34,11.8,6,12:25,F
335,Петухов Егор,БАР,37,4,2,6,9,63,6.3,2,11:09,F
336,Пешехонов Владимир,СИБ,44,3,4,7,-10,51,5.9,4,10:46,F
337,Пикар Александр,КУН,4,0,0,0,-2,4,0.0,4,09:09,F
338,Пильстрём Антти,ЙОК,41,1,3,4,-7,32,3.1,10,12:10,F
339,Платонов Денис,ММГ,24,2,6,8,1,30,6.7,12,10:01,F
340,Платонов Юрий,ММГ,5,0,0,0,0,2,0.0,0,05:02,F
341,Плотников Сергей,СКА,61,19,20,39,23,108,17.6,40,17:56,F
342,Плэтт Джефф,ЙОК,60,11,11,22,-4,99,11.1,32,15:32,F
343,Подколзин Василий,СКА,3,0,0,0,-1,1,0.0,0,03:30,F
344,Подшендялов Артём,НХК,12,0,1,1,-6,10,0.0,2,11:19,F
345,Полак Войтех,АДМ,48,8,6,14,-13,92,8.7,24,14:33,F
346,Полунин Александр,СОЧ,52,4,7,11,-11,114,3.5,26,14:48,F
347,Полыгалов Игорь,ТРК,40,9,9,18,-16,55,16.4,18,17:19,F
348,Попов Александр,ЦСК,43,3,11,14,15,17,17.6,4,14:01,F
349,Попов Андрей,АКБ,44,2,4,6,3,43,4.7,8,12:39,F
350,Попов Виталий,АВТ,20,2,3,5,2,15,13.3,4,11:18,F
351,Попугаев Никита А.,АМР,36,1,0,1,-6,25,4.0,20,07:24,F
352,Порядин Павел,НХК,39,7,8,15,-4,79,8.9,16,13:09,F
353,Потапов Алексей,АКБ,49,9,10,19,22,40,22.5,14,13:12,F
354,Потехин Богдан,ВИТ,39,2,5,7,-12,39,5.1,16,11:51,F
355,Почивалов Денис,ТОР,2,0,0,0,0,1,0.0,0,02:48,F
356,Принс Шейн,СИБ,30,6,13,19,2,68,8.8,6,16:22,F
357,Прохоркин Николай,СКА,41,20,21,41,27,103,19.4,10,15:51,F
358,Пулкинен Теему,ДМН,50,15,14,29,-6,167,9.0,26,17:27,F
359,Пуустинен Юусо,НХК,53,20,17,37,-13,196,10.2,20,18:41,F
360,Пьянов Валентин,АМР,57,6,20,26,-4,93,6.5,20,17:26,F
361,Разгалс Френкс,ДРГ,32,0,2,2,-8,38,0.0,4,10:06,F
362,Раисов Аслан,ДИН,13,1,3,4,0,12,8.3,2,09:06,F
363,Расмуссен Деннис,ММГ,61,14,33,47,7,119,11.8,6,17:57,F
364,Рассейкин Максим,АВТ,44,3,5,8,-2,31,9.7,4,08:27,F
365,Рассказов Кирилл,АМР,36,5,9,14,3,34,14.7,8,15:54,F
366,Рау Чед,СЛВ,55,7,10,17,-20,73,9.6,4,14:16,F
367,Рахимуллин Дамир,СОЧ,45,7,0,7,-3,65,10.8,95,08:39,F
368,Регин Петер,ЙОК,29,2,6,8,2,31,6.5,10,15:08,F
369,Редлихс Микелис,ДРГ,57,7,16,23,-3,93,7.5,34,17:52,F
370,Рендулич Борна,ВИТ,59,13,10,23,-5,124,10.5,75,15:48,F
371,Репик Михал,ВИТ,61,15,15,30,-13,166,9.0,22,17:09,F
372,Романцев Данил,СИБ,60,13,5,18,2,95,13.7,22,13:54,F
373,Росьен Роберт,СОЧ,62,13,27,40,13,113,11.5,28,17:51,F
374,Ртищев Никита,ЦСК,13,1,0,1,1,5,20.0,0,04:29,F
375,Руденков Игорь,АМР,55,13,12,25,-2,131,9.9,20,15:29,F
376,Руохомаа Микаэл,НХК,49,9,24,33,-3,127,7.1,16,19:07,F
377,Рыбаков Александр,ТРК,62,6,8,14,-20,47,12.8,26,16:09,F
378,Рыбин Максим,СЮЛ,57,2,9,11,-14,77,2.6,82,13:14,F
379,Саболич Роберт,ТОР,58,16,11,27,-18,148,10.8,29,15:04,F
380,Савинайнен Вели-Матти,КУН,37,9,9,18,-13,71,12.7,45,18:01,F
381,Сагадеев Антон,БАР,61,4,6,10,8,59,6.8,14,11:52,F
382,Самохвалов Никита,АВГ,5,0,0,0,0,1,0.0,2,04:10,F
383,Санников Степан,ЛОК,59,8,6,14,-2,107,7.5,24,15:30,F
384,Саюстов Дмитрий,СИБ,54,12,18,30,3,88,13.6,16,17:35,F
385,Светлаков Андрей,ЦСК,44,8,7,15,17,65,12.3,25,13:34,F
386,Свитов Александр,АКБ,28,1,7,8,0,28,3.6,14,12:47,F
387,Секач Иржи,АКБ,60,23,24,47,14,121,19.0,16,16:01,F
388,Секстон Дэн,АВТ,61,25,27,52,22,186,13.4,6,16:28,F
389,Семёнов Кирилл,АВГ,62,15,13,28,5,153,9.8,16,17:04,F
390,Сен-Пьер Мартен,КУН,27,4,8,12,-15,26,15.4,10,14:44,F
391,Сентюрин Сергей,ТРК,8,0,0,0,-2,2,0.0,4,06:45,F
392,Сетдиков Никита,АВТ,25,3,3,6,-1,25,12.0,6,08:48,F
393,Сёмин Александр,ВИТ,54,19,21,40,6,153,12.4,43,17:28,F
394,Сёмин Дмитрий,ТОР,47,3,12,15,-2,46,6.5,14,12:53,F
395,Сигарёв Андрей,СИБ,1,0,0,0,-1,0,0.0,0,09:21,F
396,Сидляров Дмитрий,ДИН,15,1,3,4,0,15,6.7,4,09:35,F
397,Силаев Иван,ЦСК,1,0,0,0,0,1,0.0,0,10:13,F
398,Сироткин Никита,АДМ,7,0,0,0,-5,5,0.0,6,08:01,F
399,Сито Кристофер,КУН,19,1,0,1,2,18,5.6,4,08:02,F
400,Сквайрз Грэг,КУН,59,3,8,11,-17,92,3.3,14,11:39,F
